Data e horário,Corrente CA L1|Primo 3.0-1 (# 1),Corrente CC MPP1|Primo 3.0-1 (# 1),Corrente CC MPP2|Primo 3.0-1 (# 1),Energia|Primo 3.0-1 (# 1),Energia MPP1|Primo 3.0-1 (# 1),Energia MPP2|Primo 3.0-1 (# 1),Fator de potência|Primo 3.0-1 (# 1),Potência aparente|Primo 3.0-1 (# 1),Potência reativa|Primo 3.0-1 (# 1),Rendimento específico|Primo 3.0-1 (# 1),Voltagem CA L1|Primo 3.0-1 (# 1),Voltagem CC MPP1|Primo 3.0-1 (# 1),Voltagem CC MPP2|Primo 3.0-1 (# 1),
[dd.MM.yyyy HH:mm],[A],[A],[A],[Wh],[Wh],[Wh],[1],[VA],[var],[kWh/kWp],[V],[V],[V],
01.08.2019 00:00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 00:55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 01:55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,n/a,0.40,0.30,
01.08.2019 02:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 02:55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 03:55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 04:55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 05:55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 06:00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 06:05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 06:10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
01.08.2019 06:15,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,n/a,27.30,27.20,
01.08.2019 06:20,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,72.61,72.61,
01.08.2019 06:25,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,104.20,104.40,
01.08.2019 06:30,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,117.93,118.22,
01.08.2019 06:35,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,121.90,121.90,
01.08.2019 06:40,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,129.94,129.84,
01.08.2019 06:45,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,136.40,136.00,
01.08.2019 06:50,0.90,0.10,0.09,0.03,0.01,0.02,0.01,49.17,49.17,0.00,201.62,157.46,153.94,
01.08.2019 06:55,0.98,0.13,0.11,0.39,0.18,0.2,0.02,214.83,214.78,0.00,220.00,166.20,159.80,
01.08.2019 07:00,1.00,0.24,0.23,1.91,1.02,0.89,0.11,216.49,215.27,0.00,219.50,159.77,148.01,
01.08.2019 07:05,1.07,0.68,0.71,6.37,3.47,2.9,0.33,232.97,220.09,0.00,219.10,96.30,75.50,
01.08.2019 07:10,1.15,0.85,0.89,9.27,5.23,4.04,0.45,248.03,221.51,0.00,218.90,104.15,76.02,
01.08.2019 07:15,1.23,1.02,1.01,12.18,7.13,5.05,0.55,266.19,222.46,0.00,218.30,111.10,79.00,
01.08.2019 07:20,1.28,1.21,0.78,13.50,9.15,4.36,0.59,275.99,223.03,0.00,218.30,117.22,85.30,
01.08.2019 07:25,1.27,1.37,0.38,13.50,10.93,2.57,0.59,275.01,223.01,0.00,218.40,120.35,101.01,
01.08.2019 07:30,1.38,1.56,0.26,16.43,13.69,2.75,0.66,299.23,225.06,0.01,218.70,128.00,163.10,
01.08.2019 07:35,1.78,1.77,1.81,25.99,16.06,9.94,0.81,387.31,228.21,0.01,218.60,128.50,77.19,
01.08.2019 07:40,1.99,1.96,1.93,30.71,18.14,12.58,0.85,433.43,228.12,0.01,218.00,128.30,89.90,
01.08.2019 07:45,2.25,2.16,2.19,36.00,20.25,15.76,0.89,489.8,227.99,0.01,217.90,128.30,98.00,
01.08.2019 07:50,2.42,2.35,2.38,39.60,22.29,17.31,0.9,527.27,228.42,0.01,218.40,128.20,98.10,
01.08.2019 07:55,2.51,2.29,2.58,41.47,22.75,18.72,0.91,550.33,231.42,0.01,219.79,134.91,97.83,
01.08.2019 08:00,2.76,2.00,2.72,46.39,22.62,23.77,0.93,601.63,228.25,0.01,218.40,151.30,116.80,
01.08.2019 08:05,3.07,2.82,2.89,52.21,26.36,25.84,0.94,668.2,226.66,0.02,218.20,125.72,119.36,
01.08.2019 08:10,3.09,3.03,2.41,52.83,29.53,23.3,0.94,673.08,226.09,0.02,217.90,128.80,127.90,
01.08.2019 08:15,3.29,2.41,3.00,56.38,31.4,24.98,0.95,715.24,225.28,0.02,217.70,174.23,112.36,
01.08.2019 08:20,3.67,2.44,3.45,63.97,35.78,28.19,0.96,799.62,224.03,0.02,217.70,193.10,107.20,
01.08.2019 08:25,3.91,3.31,3.49,68.28,39.15,29.13,0.96,851.96,223.64,0.02,217.80,158.16,109.86,
01.08.2019 08:30,3.90,3.77,2.77,68.24,39.64,28.6,0.96,848.72,223.28,0.02,217.70,136.90,134.10,
01.08.2019 08:35,4.17,3.11,3.62,73.04,41.3,31.74,0.97,907.05,222.27,0.02,217.50,178.12,117.34,
01.08.2019 08:40,4.27,2.75,4.11,75.27,41.31,33.96,0.97,930.12,221.78,0.02,217.60,196.40,107.90,
01.08.2019 08:45,4.32,2.97,4.08,75.86,43.96,31.9,0.97,939.82,221.65,0.02,217.50,194.12,103.28,
01.08.2019 08:50,4.14,2.73,4.08,72.69,41.26,31.42,0.97,900.11,222.19,0.02,217.50,197.60,100.80,
01.08.2019 08:55,4.49,3.98,3.15,78.97,47.04,31.93,0.97,976.19,221.24,0.02,217.60,159.53,132.06,
01.08.2019 09:00,4.31,3.75,2.38,75.84,47.06,28.78,0.97,936.48,220.84,0.02,217.40,164.30,155.40,
01.08.2019 09:05,4.24,2.98,2.36,74.13,45.0,29.13,0.97,919.32,220.28,0.02,217.01,195.30,165.30,
01.08.2019 09:10,4.83,3.34,2.73,86.53,50.96,35.56,0.98,1054.86,220.95,0.03,218.21,194.79,165.70,
01.08.2019 09:15,5.34,3.44,3.42,95.98,51.99,43.99,0.98,1173.02,222.22,0.03,219.40,193.80,165.90,
01.08.2019 09:20,5.47,3.29,3.61,98.07,49.8,48.27,0.98,1201.54,222.4,0.03,219.60,195.10,172.35,
01.08.2019 09:25,5.26,3.44,3.03,94.38,52.25,42.13,0.98,1154.18,222.2,0.03,219.30,194.80,180.20,
01.08.2019 09:30,5.72,3.77,3.15,102.61,56.76,45.85,0.98,1254.94,220.67,0.03,219.20,192.97,186.26,
01.08.2019 09:35,5.39,3.91,3.39,96.50,57.43,39.07,0.98,1178.76,220.26,0.03,218.50,189.10,165.00,
01.08.2019 09:40,6.01,3.94,4.91,107.70,57.34,50.36,0.99,1315.03,218.38,0.03,218.50,188.01,134.06,
01.08.2019 09:45,6.19,3.90,4.01,111.31,57.38,53.93,0.99,1353.41,217.82,0.03,218.50,189.00,172.90,
01.08.2019 09:50,6.59,4.32,4.03,118.33,62.6,55.73,0.99,1441.17,217.06,0.04,218.60,185.06,177.12,
01.08.2019 09:55,6.70,4.81,4.22,120.94,66.23,54.71,0.99,1467.47,217.5,0.04,218.80,178.30,165.50,
01.08.2019 10:00,6.91,6.28,4.30,124.47,68.79,55.68,0.99,1514.26,217.0,0.04,218.80,140.12,166.41,
01.08.2019 10:05,7.12,6.37,4.30,128.66,71.95,56.72,0.99,1558.99,215.81,0.04,218.50,143.70,167.60,
01.08.2019 10:10,7.38,6.49,4.03,132.73,76.05,56.68,0.99,1612.36,214.12,0.04,218.20,149.07,179.04,
01.08.2019 10:15,7.74,6.58,4.31,140.06,82.34,57.72,0.99,1694.3,213.99,0.04,218.40,159.00,170.30,
01.08.2019 10:20,8.08,6.71,4.30,145.89,86.87,59.01,0.99,1769.41,213.48,0.05,218.60,164.42,174.08,
01.08.2019 10:25,7.27,6.77,2.84,131.28,89.48,41.8,0.99,1590.05,215.42,0.04,218.40,166.90,186.30,
01.08.2019 10:30,8.26,6.88,4.40,148.97,90.45,58.52,0.99,1806.22,212.85,0.05,218.40,166.80,169.09,
01.08.2019 10:35,8.11,6.96,3.77,147.72,92.89,54.83,0.99,1773.74,213.12,0.05,218.30,167.20,183.00,
01.08.2019 10:40,8.55,7.06,4.66,154.57,92.74,61.83,0.99,1866.95,211.83,0.05,218.20,166.60,168.30,
01.08.2019 10:45,8.95,7.12,5.07,161.72,93.3,68.42,0.99,1958.52,211.29,0.05,218.40,166.50,171.23,
01.08.2019 10:50,9.21,7.20,5.23,167.31,94.51,72.8,0.99,2018.84,211.97,0.05,218.80,166.00,176.00,
01.08.2019 10:55,9.33,7.24,5.37,168.99,94.69,74.3,0.99,2045.66,211.42,0.05,218.90,166.10,175.65,
01.08.2019 11:00,9.82,7.33,6.94,178.67,95.5,83.17,1.0,2154.48,211.34,0.06,219.00,165.70,153.30,
01.08.2019 11:05,10.49,7.42,7.38,190.56,96.0,94.56,1.0,2304.0,210.17,0.06,219.40,164.79,163.02,
01.08.2019 11:10,10.64,7.48,7.46,193.91,96.53,97.38,1.0,2336.36,209.75,0.06,219.20,163.90,165.50,
01.08.2019 11:15,10.66,7.52,7.52,193.73,96.54,97.19,1.0,2341.96,210.06,0.06,219.30,163.30,164.49,
01.08.2019 11:20,10.62,7.54,7.54,193.82,96.66,97.16,1.0,2335.4,210.64,0.06,219.40,162.70,163.30,
01.08.2019 11:25,10.69,7.59,7.60,194.56,96.87,97.69,1.0,2352.03,210.69,0.06,219.60,162.50,163.60,
01.08.2019 11:30,10.68,7.63,7.62,195.40,97.29,98.11,1.0,2354.3,211.69,0.06,220.00,161.80,163.20,
01.08.2019 11:35,10.63,7.66,7.65,193.93,96.67,97.25,1.0,2344.53,212.29,0.06,220.10,160.90,161.80,
01.08.2019 11:40,10.67,7.70,7.70,195.38,97.4,97.98,1.0,2354.2,212.31,0.06,220.20,160.60,161.40,
01.08.2019 11:45,10.76,7.72,7.70,196.27,97.74,98.53,1.0,2372.57,212.04,0.06,220.10,161.20,162.80,
01.08.2019 11:50,10.73,7.72,7.72,196.46,97.96,98.51,1.0,2367.1,212.19,0.06,220.20,161.10,162.00,
01.08.2019 11:55,10.75,7.73,7.73,196.35,98.0,98.35,1.0,2373.65,212.67,0.06,220.40,161.50,161.99,
01.08.2019 12:00,10.78,7.77,7.75,197.35,98.95,98.4,1.0,2377.72,212.07,0.06,220.20,161.70,161.00,
01.08.2019 12:05,10.85,7.79,7.77,198.41,98.91,99.5,1.0,2398.33,213.17,0.06,220.60,161.79,162.89,
01.08.2019 12:10,10.81,7.80,7.79,198.16,98.76,99.4,1.0,2387.4,213.12,0.06,220.50,160.90,162.00,
01.08.2019 12:15,10.85,7.79,7.79,198.23,99.16,99.08,1.0,2396.2,212.86,0.06,220.60,162.20,161.80,
01.08.2019 12:20,10.91,7.80,7.79,201.08,100.66,100.42,1.0,2406.31,212.15,0.06,220.30,162.80,162.50,
01.08.2019 12:25,10.94,7.80,7.80,200.20,99.98,100.22,1.0,2411.71,211.62,0.06,220.10,162.70,163.10,
01.08.2019 12:30,10.93,7.80,7.79,199.23,99.61,99.61,1.0,2407.98,211.05,0.06,219.90,162.80,162.70,
01.08.2019 12:35,10.87,7.73,7.73,198.59,99.34,99.26,1.0,2392.4,210.83,0.06,219.80,163.10,162.90,
01.08.2019 12:40,10.76,7.69,7.68,195.78,97.73,98.05,1.0,2366.68,210.74,0.06,219.50,161.90,162.40,
01.08.2019 12:45,10.76,7.69,7.69,196.40,97.87,98.53,1.0,2366.15,210.14,0.06,219.30,161.50,162.40,
01.08.2019 12:50,10.71,7.69,7.68,194.57,97.19,97.38,1.0,2351.99,209.93,0.06,219.20,161.11,161.41,
01.08.2019 12:55,10.79,7.63,7.63,195.97,98.12,97.85,1.0,2360.89,208.55,0.06,218.50,163.20,162.70,
01.08.2019 13:00,10.67,7.50,7.50,193.20,96.96,96.23,1.0,2335.43,208.64,0.06,218.40,164.20,162.90,
01.08.2019 13:05,9.39,6.55,6.58,169.78,84.96,84.82,0.99,2048.3,211.16,0.05,218.30,164.60,163.60,
01.08.2019 13:10,8.80,6.23,6.19,159.61,79.92,79.69,0.99,1933.88,216.14,0.05,220.00,163.02,163.90,
01.08.2019 13:15,10.15,7.13,7.13,185.45,92.89,92.56,1.0,2235.52,212.57,0.06,219.90,165.50,164.70,
01.08.2019 13:20,9.45,6.67,6.65,171.95,86.06,85.89,0.99,2081.3,213.92,0.05,219.80,164.60,164.69,
01.08.2019 13:25,8.31,5.88,5.85,151.31,75.96,75.35,0.99,1828.63,216.76,0.05,219.90,164.20,163.50,
01.08.2019 13:30,10.14,7.13,7.12,185.15,92.56,92.59,1.0,2239.45,213.65,0.06,220.50,165.39,165.49,
01.08.2019 13:35,10.08,7.14,7.13,184.70,92.33,92.37,1.0,2226.69,213.58,0.06,220.50,164.40,164.50,
01.08.2019 13:40,10.01,7.03,7.02,182.76,91.62,91.14,1.0,2210.8,213.97,0.06,220.60,165.99,165.29,
01.08.2019 13:45,9.87,6.99,6.97,180.91,90.73,90.18,1.0,2181.48,214.62,0.06,220.70,164.90,164.20,
01.08.2019 13:50,9.77,6.89,6.86,178.27,89.51,88.76,1.0,2157.01,214.23,0.06,220.40,165.60,164.60,
01.08.2019 13:55,9.58,6.77,6.75,176.84,88.81,88.03,0.99,2119.08,215.65,0.06,220.90,165.79,164.59,
01.08.2019 14:00,9.45,6.69,6.69,172.88,86.77,86.11,0.99,2085.73,215.1,0.05,220.40,164.80,163.50,
01.08.2019 14:05,9.35,6.66,6.63,170.30,85.27,85.03,0.99,2061.69,214.98,0.05,220.30,163.32,163.41,
01.08.2019 14:10,9.39,6.58,6.58,171.87,86.26,85.61,0.99,2073.67,214.99,0.05,220.40,166.40,165.10,
01.08.2019 14:15,9.21,6.40,6.40,167.88,84.29,83.59,0.99,2032.8,215.55,0.05,220.50,168.10,166.60,
01.08.2019 14:20,9.05,6.29,6.28,165.48,82.99,82.49,0.99,1997.48,215.52,0.05,220.40,167.70,166.80,
01.08.2019 14:25,8.83,6.16,6.14,160.58,80.56,80.02,0.99,1945.42,215.58,0.05,220.10,166.81,166.10,
01.08.2019 14:30,8.63,6.00,5.98,157.55,79.09,78.46,0.99,1902.84,215.84,0.05,220.10,167.70,166.70,
01.08.2019 14:35,8.45,5.87,5.86,153.61,77.07,76.55,0.99,1862.12,216.23,0.05,220.10,167.70,166.60,
01.08.2019 14:40,8.29,5.77,5.75,152.27,76.38,75.89,0.99,1828.01,216.75,0.05,220.20,167.30,166.60,
01.08.2019 14:45,8.15,5.68,5.66,148.80,74.65,74.15,0.99,1798.76,217.35,0.05,220.40,167.40,166.70,
01.08.2019 14:50,7.94,5.51,5.49,144.76,72.68,72.07,0.99,1756.53,218.49,0.05,220.90,168.40,167.50,
01.08.2019 14:55,7.73,5.35,5.32,140.95,70.77,70.18,0.99,1705.35,218.01,0.04,220.50,168.70,168.00,
01.08.2019 15:00,7.51,5.19,5.17,136.37,68.36,68.01,0.99,1656.38,218.52,0.04,220.50,168.70,168.20,
